Абаза|(региональное)|19|ХакасияРеспублика|-
Абакан|(региональное)|19|ХакасияРеспублика|региона
Абдулино|АбдулинскийРайон|56|ОренбургскаяОбласть|района
Абинск|АбинскийРайон|23|КраснодарскийКрай|района
Агидель|(региональное)|02|БашкортостанРеспублика|-
Агрыз|АгрызскийРайон|16|ТатарстанРеспублика|района
Адыгейск|(региональное)|01|АдыгеяРеспублика|-
Азнакаево|АзнакаевскийРайон|16|ТатарстанРеспублика|района
Азов|(региональное)|61|РостовскаяОбласть|-
Ак-Довурак|(региональное)|17|ТываРеспублика|-
Аксай|АксайскийРайон|61|РостовскаяОбласть|района
Алагир|АлагирскийРайон|15|СевернаяОсетия-АланияРеспублика|района
Алапаевск|(региональное)|66|СвердловскаяОбласть|-
Алатырь|(региональное)|21|ЧувашскаяРеспублика-Чувашия|-
Алдан|АлданскийУлус|14|Саха/Якутия/Республика|района
Алейск|(региональное)|22|АлтайскийКрай|-
Александров|АлександровскийРайон|33|ВладимирскаяОбласть|района
Александровск|(региональное)|59|ПермскийКрай|-
Александровск-Сахалинский|Александровск-СахалинскийРайон|65|СахалинскаяОбласть|района
Алексеевка|АлексеевскийРайон|31|БелгородскаяОбласть|района
Алексин|АлексинскийРайон|71|ТульскаяОбласть|района
Алзамай|НижнеудинскийРайон|38|ИркутскаяОбласть|-
Алупка|(региональное)|91|КрымРеспублика|-
Алушта|(региональное)|91|КрымРеспублика|-
Альметьевск|АльметьевскийРайон|16|ТатарстанРеспублика|района
Амурск|(региональное)|27|ХабаровскийКрай|-
Анадырь|(региональное)|87|ЧукотскийАвтономныйокруг|региона
Анапа|АнапскийРайон|23|КраснодарскийКрай|района
Ангарск|(региональное)|38|ИркутскаяОбласть|-
Андреаполь|АндреапольскийРайон|69|ТверскаяОбласть|района
Анжеро-Судженск|(региональное)|42|КемеровскаяОбласть|-
Анива|АнивскийРайон|65|СахалинскаяОбласть|района
Апатиты|(региональное)|51|МурманскаяОбласть|-
Апрелевка|Наро-ФоминскийРайон|50|МосковскаяОбласть|-
Апшеронск|АпшеронскийРайон|23|КраснодарскийКрай|района
Арамиль|СысертскийРайон|66|СвердловскаяОбласть|-
Аргун|(региональное)|20|ЧеченскаяРеспублика|-
Ардатов|АрдатовскийРайон|13|МордовияРеспублика|района
Ардон|АрдонскийРайон|15|СевернаяОсетия-АланияРеспублика|района
Арзамас|(региональное)|52|НижегородскаяОбласть|-
Аркадак|АркадакскийРайон|64|СаратовскаяОбласть|района
Армавир|(региональное)|23|КраснодарскийКрай|-
Армянск|(региональное)|91|КрымРеспублика|-
Армянськ|КрасноперекопскийРайон|91|КрымРеспублика|-
Арсеньев|(региональное)|25|ПриморскийКрай|-
Арск|АрскийРайон|16|ТатарстанРеспублика|района
Артем|(региональное)|25|ПриморскийКрай|-
Артемовск|КурагинскийРайон|24|КрасноярскийКрай|-
Артемовский|АртемовскийРайон|66|СвердловскаяОбласть|района
Архангельск|(региональное)|29|АрхангельскаяОбласть|региона
Асбест|(региональное)|66|СвердловскаяОбласть|-
Асино|АсиновскийРайон|70|ТомскаяОбласть|района
Астрахань|(региональное)|30|АстраханскаяОбласть|региона
Аткарск|(региональное)|64|СаратовскаяОбласть|-
Ахтубинск|АхтубинскийРайон|30|АстраханскаяОбласть|района
Ахтубинск-7|АхтубинскийРайон|30|АстраханскаяОбласть|-
Ачинск|(региональное)|24|КрасноярскийКрай|-
Аша|АшинскийРайон|74|ЧелябинскаяОбласть|района
Бабаево|БабаевскийРайон|35|ВологодскаяОбласть|района
Бабушкин|КабанскийРайон|03|БурятияРеспублика|-
Бавлы|БавлинскийРайон|16|ТатарстанРеспублика|района
Багратионовск|БагратионовскийРайон|39|КалининградскаяОбласть|района
Байкальск|СлюдянскийРайон|38|ИркутскаяОбласть|-
Баймак|БаймакскийРайон|02|БашкортостанРеспублика|района
Бакал|СаткинскийРайон|74|ЧелябинскаяОбласть|-
Баксан|(региональное)|07|Кабардино-БалкарскаяРеспублика|района
Балабаново|БоровскийРайон|40|КалужскаяОбласть|-
Балаково|(региональное)|64|СаратовскаяОбласть|-
Балахна|БалахнинскийРайон|52|НижегородскаяОбласть|района
Балашиха|(региональное)|50|МосковскаяОбласть|-
Балашов|(региональное)|64|СаратовскаяОбласть|-
Балей|БалейскийРайон|75|ЗабайкальскийКрай|района
Балтийск|БалтийскийРайон|39|КалининградскаяОбласть|района
Барабинск|(региональное)|54|НовосибирскаяОбласть|-
Барнаул|(региональное)|22|АлтайскийКрай|региона
Барыш|(региональное)|73|УльяновскаяОбласть|-
Батайск|(региональное)|61|РостовскаяОбласть|-
Бахчисарай|БахчисарайскийРайон|91|КрымРеспублика|-
Бежецк|БежецкийРайон|69|ТверскаяОбласть|района
БелаяКалитва|БелокалитвинскийРайон|61|РостовскаяОбласть|района
БелаяХолуница|БелохолуницкийРайон|43|КировскаяОбласть|района
Белгород|(региональное)|31|БелгородскаяОбласть|региона
Белебей|БелебеевскийРайон|02|БашкортостанРеспублика|района
Белев|БелевскийРайон|71|ТульскаяОбласть|района
Белинский|БелинскийРайон|58|ПензенскаяОбласть|района
Белово|(региональное)|42|КемеровскаяОбласть|-
Белогорск|(региональное)|28|АмурскаяОбласть|-
Белогорск|БелогорскийРайон|91|КрымРеспублика|-
Белозерск|БелозерскийРайон|35|ВологодскаяОбласть|района
Белокуриха|(региональное)|22|АлтайскийКрай|-
Беломорск|БеломорскийРайон|10|КарелияРеспублика|района
Белорецк|БелорецкийРайон|02|БашкортостанРеспублика|района
Белореченск|БелореченскийРайон|23|КраснодарскийКрай|района
Белоусово|ЖуковскийРайон|40|КалужскаяОбласть|-
Белоярский|(региональное)|86|Ханты-МансийскийАвтономныйокруг-ЮграАвтономныйокруг|-
Белый|БельскийРайон|69|ТверскаяОбласть|района
Бердск|(региональное)|54|НовосибирскаяОбласть|-
Березники|(региональное)|59|ПермскийКрай|-
Березовский|(региональное)|42|КемеровскаяОбласть|-
Березовский|(региональное)|66|СвердловскаяОбласть|-
Беслан|ПравобережныйРайон|15|СевернаяОсетия-АланияРеспублика|района
Бийск|(региональное)|22|АлтайскийКрай|-
Бикин|(региональное)|27|ХабаровскийКрай|-
Билибино|БилибинскийРайон|87|ЧукотскийАвтономныйокруг|района
Биробиджан|(региональное)|79|ЕврейскаяАвтономнаяобласть|региона
Бирск|БирскийРайон|02|БашкортостанРеспублика|района
Бирюсинск|ТайшетскийРайон|38|ИркутскаяОбласть|-
Бирюч|КрасногвардейскийРайон|31|БелгородскаяОбласть|района
Благовещенск|БлаговещенскийРайон|02|БашкортостанРеспублика|района
Благовещенск|(региональное)|28|АмурскаяОбласть|региона
Благодарный|БлагодарненскийРайон|26|СтавропольскийКрай|района
Бобров|БобровскийРайон|36|ВоронежскаяОбласть|района
Богданович|БогдановичскийРайон|66|СвердловскаяОбласть|-
Богородицк|БогородицкийРайон|71|ТульскаяОбласть|района
Богородск|БогородскийРайон|52|НижегородскаяОбласть|района
Боготол|(региональное)|24|КрасноярскийКрай|-
Богучар|БогучарскийРайон|36|ВоронежскаяОбласть|района
Бодайбо|(региональное)|38|ИркутскаяОбласть|-
Бокситогорск|БокситогорскийРайон|47|ЛенинградскаяОбласть|района
Болгар|СпасскийРайон|16|ТатарстанРеспублика|района
Бологое|БологовскийРайон|69|ТверскаяОбласть|района
Болотное|БолотнинскийРайон|54|НовосибирскаяОбласть|района
Болохово|КиреевскийРайон|71|ТульскаяОбласть|-
Болхов|БолховскийРайон|57|ОрловскаяОбласть|района
БольшойКамень|(региональное)|25|ПриморскийКрай|-
Бор|(региональное)|52|НижегородскаяОбласть|-
Борзя|БорзинскийРайон|75|ЗабайкальскийКрай|района
Борисоглебск|БорисоглебскийРайон|36|ВоронежскаяОбласть|района
Боровичи|БоровичскийРайон|53|НовгородскаяОбласть|района
Боровск|БоровскийРайон|40|КалужскаяОбласть|района
Боровск-1|БоровскийРайон|40|КалужскаяОбласть|-
Бородино|(региональное)|24|КрасноярскийКрай|-
Братск|(региональное)|38|ИркутскаяОбласть|-
Бронницы|(региональное)|50|МосковскаяОбласть|-
Брянск|(региональное)|32|БрянскаяОбласть|региона
Бугульма|БугульминскийРайон|16|ТатарстанРеспублика|района
Бугуруслан|(региональное)|56|ОренбургскаяОбласть|-
Буденновск|БуденновскийРайон|26|СтавропольскийКрай|района
Бузулук|(региональное)|56|ОренбургскаяОбласть|-
Буинск|БуинскийРайон|16|ТатарстанРеспублика|района
Буй|БуйскийРайон|44|КостромскаяОбласть|района
Буйнакск|(региональное)|05|ДагестанРеспублика|-
Бутурлиновка|БутурлиновскийРайон|36|ВоронежскаяОбласть|района
Валдай|ВалдайскийРайон|53|НовгородскаяОбласть|района
Валуйки|ВалуйскийРайон|31|БелгородскаяОбласть|района
Велиж|ВелижскийРайон|67|СмоленскаяОбласть|района
ВеликиеЛуки|(региональное)|60|ПсковскаяОбласть|-
ВеликиеЛуки-1|ВеликолукскийРайон|60|ПсковскаяОбласть|-
ВеликийНовгород|(региональное)|53|НовгородскаяОбласть|региона
ВеликийУстюг|ВеликоустюгскийРайон|35|ВологодскаяОбласть|района
Вельск|ВельскийРайон|29|АрхангельскаяОбласть|района
Венев|ВеневскийРайон|71|ТульскаяОбласть|района
Верещагино|ВерещагинскийРайон|59|ПермскийКрай|района
Верея|Наро-ФоминскийРайон|50|МосковскаяОбласть|-
Верхнеуральск|ВерхнеуральскийРайон|74|ЧелябинскаяОбласть|района
ВерхнийТагил|(региональное)|66|СвердловскаяОбласть|-
ВерхнийУфалей|(региональное)|74|ЧелябинскаяОбласть|-
ВерхняяПышма|(региональное)|66|СвердловскаяОбласть|-
ВерхняяСалда|ВерхнесалдинскийРайон|66|СвердловскаяОбласть|-
ВерхняяТура|(региональное)|66|СвердловскаяОбласть|-
Верхотурье|ВерхотурскийРайон|66|СвердловскаяОбласть|района
Верхоянск|ВерхоянскийУлус|14|Саха/Якутия/Республика|-
Весьегонск|ВесьегонскийРайон|69|ТверскаяОбласть|района
Ветлуга|ВетлужскийРайон|52|НижегородскаяОбласть|района
Видное|ЛенинскийРайон|50|МосковскаяОбласть|района
Вилюйск|ВилюйскийУлус|14|Саха/Якутия/Республика|района
Вилючинск|(региональное)|41|КамчатскийКрай|-
Вихоревка|БратскийРайон|38|ИркутскаяОбласть|-
Вичуга|ВичугскийРайон|37|ИвановскаяОбласть|района
Владивосток|(региональное)|25|ПриморскийКрай|региона
Владикавказ|(региональное)|15|СевернаяОсетия-АланияРеспублика|региона
Владимир|(региональное)|33|ВладимирскаяОбласть|региона
Волгоград|(региональное)|34|ВолгоградскаяОбласть|региона
Волгодонск|(региональное)|61|РостовскаяОбласть|-
Волгореченск|(региональное)|44|КостромскаяОбласть|-
Волжск|(региональное)|12|МарийЭлРеспублика|-
Волжский|(региональное)|34|ВолгоградскаяОбласть|-
Вологда|(региональное)|35|ВологодскаяОбласть|региона
Володарск|ВолодарскийРайон|52|НижегородскаяОбласть|района
Волоколамск|ВолоколамскийРайон|50|МосковскаяОбласть|района
Волосово|ВолосовскийРайон|47|ЛенинградскаяОбласть|района
Волхов|ВолховскийРайон|47|ЛенинградскаяОбласть|района
Волчанск|(региональное)|66|СвердловскаяОбласть|-
Вольск|(региональное)|64|СаратовскаяОбласть|-
Вольск-18|(региональное)|64|СаратовскаяОбласть|-
Воркута|(региональное)|11|КомиРеспублика|-
Воронеж|(региональное)|36|ВоронежскаяОбласть|региона
Воронеж-45|(региональное)|36|ВоронежскаяОбласть|-
Ворсма|ПавловскийРайон|52|НижегородскаяОбласть|-
Воскресенск|ВоскресенскийРайон|50|МосковскаяОбласть|района
Воткинск|(региональное)|18|УдмуртскаяРеспублика|-
Всеволожск|ВсеволожскийРайон|47|ЛенинградскаяОбласть|района
Вуктыл|(региональное)|11|КомиРеспублика|-
Выборг|ВыборгскийРайон|47|ЛенинградскаяОбласть|района
Выкса|(региональное)|52|НижегородскаяОбласть|района
Высоковск|КлинскийРайон|50|МосковскаяОбласть|-
Высоцк|ВыборгскийРайон|47|ЛенинградскаяОбласть|-
Вытегра|ВытегорскийРайон|35|ВологодскаяОбласть|района
ВышнийВолочек|(региональное)|69|ТверскаяОбласть|-
Вяземский|ВяземскийРайон|27|ХабаровскийКрай|района
Вязники|ВязниковскийРайон|33|ВладимирскаяОбласть|района
Вязьма|ВяземскийРайон|67|СмоленскаяОбласть|района
ВятскиеПоляны|ВятскополянскийРайон|43|КировскаяОбласть|района
ГавриловПосад|Гаврилово-ПосадскийРайон|37|ИвановскаяОбласть|района
Гаврилов-Ям|Гаврилов-ЯмскийРайон|76|ЯрославскаяОбласть|района
Гагарин|ГагаринскийРайон|67|СмоленскаяОбласть|района
Гаджиево|(региональное)|51|МурманскаяОбласть|-
Гай|(региональное)|56|ОренбургскаяОбласть|-
Галич|ГаличскийРайон|44|КостромскаяОбласть|района
Гатчина|ГатчинскийРайон|47|ЛенинградскаяОбласть|района
Гвардейск|ГвардейскийРайон|39|КалининградскаяОбласть|района
Гдов|ГдовскийРайон|60|ПсковскаяОбласть|района
Геленджик|(региональное)|23|КраснодарскийКрай|-
Георгиевск|(региональное)|26|СтавропольскийКрай|-
Глазов|(региональное)|18|УдмуртскаяРеспублика|-
Голицыно|ОдинцовскийРайон|50|МосковскаяОбласть|-
Горбатов|ПавловскийРайон|52|НижегородскаяОбласть|-
Горно-Алтайск|(региональное)|04|АлтайРеспублика|региона
Горнозаводск|ГорнозаводскийРайон|59|ПермскийКрай|района
Горняк|ЛоктевскийРайон|22|АлтайскийКрай|района
Городец|ГородецкийРайон|52|НижегородскаяОбласть|района
Городище|ГородищенскийРайон|58|ПензенскаяОбласть|района
Городовиковск|ГородовиковскийРайон|08|КалмыкияРеспублика|района
ГородскойокругЧерноголовка|(региональное)|50|МосковскаяОбласть|-
Гороховец|ГороховецкийРайон|33|ВладимирскаяОбласть|района
ГорячийКлюч|(региональное)|23|КраснодарскийКрай|-
Грайворон|ГрайворонскийРайон|31|БелгородскаяОбласть|района
Гремячинск|(региональное)|59|ПермскийКрай|-
Грозный|(региональное)|20|ЧеченскаяРеспублика|региона
Грязи|ГрязинскийРайон|48|ЛипецкаяОбласть|района
Грязовец|ГрязовецкийРайон|35|ВологодскаяОбласть|района
Губаха|(региональное)|59|ПермскийКрай|-
Губкин|(региональное)|31|БелгородскаяОбласть|района
Губкинский|(региональное)|89|Ямало-НенецкийАвтономныйокруг|-
Гудермес|ГудермесскийРайон|20|ЧеченскаяРеспублика|района
Гуково|(региональное)|61|РостовскаяОбласть|-
Гулькевичи|ГулькевичскийРайон|23|КраснодарскийКрай|района
Гурьевск|ГурьевскийРайон|39|КалининградскаяОбласть|района
Гурьевск|ГурьевскийРайон|42|КемеровскаяОбласть|района
Гусев|ГусевскийРайон|39|КалининградскаяОбласть|района
Гусиноозерск|СеленгинскийРайон|03|БурятияРеспублика|района
Гусь-Хрустальный|(региональное)|33|ВладимирскаяОбласть|-
Давлеканово|ДавлекановскийРайон|02|БашкортостанРеспублика|района
ДагестанскиеОгни|(региональное)|05|ДагестанРеспублика|-
Далматово|ДалматовскийРайон|45|КурганскаяОбласть|района
Дальнегорск|(региональное)|25|ПриморскийКрай|-
Дальнереченск|(региональное)|25|ПриморскийКрай|-
Данилов|ДаниловскийРайон|76|ЯрославскаяОбласть|района
Данков|ДанковскийРайон|48|ЛипецкаяОбласть|района
Дегтярск|(региональное)|66|СвердловскаяОбласть|-
Дедовск|ИстринскийРайон|50|МосковскаяОбласть|-
Демидов|ДемидовскийРайон|67|СмоленскаяОбласть|района
Дербент|(региональное)|05|ДагестанРеспублика|-
Десногорск|(региональное)|67|СмоленскаяОбласть|-
Джанкой|(региональное)|91|КрымРеспублика|-
Джанкой|ДжанкойскийРайон|91|КрымРеспублика|-
Дзержинск|(региональное)|52|НижегородскаяОбласть|-
Дзержинский|(региональное)|50|МосковскаяОбласть|-
Дивногорск|(региональное)|24|КрасноярскийКрай|-
Дигора|ДигорскийРайон|15|СевернаяОсетия-АланияРеспублика|района
Димитровград|(региональное)|73|УльяновскаяОбласть|-
Дмитриев|ДмитриевскийРайон|46|КурскаяОбласть|-
Дмитров|ДмитровскийРайон|50|МосковскаяОбласть|района
